"cb_no","case_number","arrest_date","race","charge_1_statute","charge_1_description","charge_1_type","charge_1_class","charge_2_statute","charge_2_description","charge_2_type","charge_2_class","charge_3_statute","charge_3_description","charge_3_type","charge_3_class","charge_4_statute","charge_4_description","charge_4_type","charge_4_class","charges_statute","charges_description","charges_type","charges_class"
"30579613","JK243582","2026-05-05T20:19:00.000","BLACK","625 ILCS 5.0/6-303-A","DRIVING RVK/SUSP DUI/SSS 10-14","F","3","720 ILCS 5.0/31-4.5-A","OBSTRUCTING IDENTIFICATION","M","A","625 ILCS 5.0/4-104-A-4","POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE","M","A","625 ILCS 5.0/6-303-A","DRIVING ON REVOKED LICENSE","M","A","625 ILCS 5.0/6-303-A | 720 ILCS 5.0/31-4.5-A | 625 ILCS 5.0/4-104-A-4 | 625 ILCS 5.0/6-303-A","DRIVING RVK/SUSP DUI/SSS 10-14 | OBSTRUCTING IDENTIFICATION | POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE | DRIVING ON REVOKED LICENSE","F | M | M | M","3 | A | A | A"
"30579607","JK243680","2026-05-05T23:18:00.000","WHITE","725 ILCS 5.0/110-3","ISSUANCE OF WARRANT",,"Z","725 ILCS 5.0/110-3","ISSUANCE OF WARRANT",,"Z",,,,,,,,,"725 ILCS 5.0/110-3 | 725 ILCS 5.0/110-3 |  |","ISSUANCE OF WARRANT | ISSUANCE OF WARRANT |  |","|  |  |","Z | Z |  |"
"30579603",,"2026-05-05T23:45:00.000","BLACK","725 ILCS 5.0/110-3","ISSUANCE OF WARRANT",,"Z",,,,,,,,,,,,,"725 ILCS 5.0/110-3 |  |  |","ISSUANCE OF WARRANT |  |  |","|  |  |","Z |  |  |"
"30579602","JK243680","2026-05-05T23:13:00.000","WHITE","720 ILCS 5.0/16-25-A-1","RETAIL THEFT/DISP MERCH/<$300/PRECONV","F","4","725 ILCS 5.0/110-3","ISSUANCE OF WARRANT",,"Z",,,,,,,,,"720 ILCS 5.0/16-25-A-1 | 725 ILCS 5.0/110-3 |  |","RETAIL THEFT/DISP MERCH/<$300/PRECONV | ISSUANCE OF WARRANT |  |","F |  |  |","4 | Z |  |"
"30579596",,"2026-05-05T23:25:00.000","WHITE HISPANIC","725 ILCS 225.0/13","FUGITIVE FROM JUSTICE - OUT OF STATE WARRANT",,"Z",,,,,,,,,,,,,"725 ILCS 225.0/13 |  |  |","FUGITIVE FROM JUSTICE - OUT OF STATE WARRANT |  |  |","|  |  |","Z |  |  |"
"30579595","JK243691","2026-05-05T23:20:00.000","BLACK","720 ILCS 5.0/31-4.5-A","OBSTRUCTING IDENTIFICATION","M","A","10-8-526","CTA- SMOKING ON (016-110-1.18)",,"L",,,,,,,,,"720 ILCS 5.0/31-4.5-A | 10-8-526 |  |","OBSTRUCTING IDENTIFICATION | CTA- SMOKING ON (016-110-1.18) |  |","M |  |  |","A | L |  |"
"30579592","JK243671","2026-05-05T23:02:00.000","WHITE HISPANIC","720 ILCS 5.0/12-3.2-A-2","DOMESTIC BTRY/PHYSICAL CONTACT","M","A",,,,,,,,,,,,,"720 ILCS 5.0/12-3.2-A-2 |  |  |","DOMESTIC BTRY/PHYSICAL CONTACT |  |  |","M |  |  |","A |  |  |"
"30579581",,"2026-05-05T22:21:00.000","WHITE HISPANIC","625 ILCS 5.0/6-101","DRIVING/NEVER ISSUED LICENSE","M","B","9-40-090","DIMMING HEADLIGHTS REQUIRED",,"L",,,,,,,,,"625 ILCS 5.0/6-101 | 9-40-090 |  |","DRIVING/NEVER ISSUED LICENSE | DIMMING HEADLIGHTS REQUIRED |  |","M |  |  |","B | L |  |"
"30579573","JK243649","2026-05-05T21:38:00.000","BLACK","720 ILCS 570.0/402-C","PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D)","F","4","720 ILCS 570.0/402-C","PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D)","F","4","9-76-050(B)","HEADLIGHT TWO REQUIRED-MOTOR VEHICLE",,"L",,,,,"720 ILCS 570.0/402-C | 720 ILCS 570.0/402-C | 9-76-050(B) |","PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D) | PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D) | HEADLIGHT TWO REQUIRED-MOTOR VEHICLE |","F | F |  |","4 | 4 | L |"
"30579572","JK243632","2026-05-05T21:34:00.000","WHITE","720 ILCS 5.0/12-3.2-A-1","DOMESTIC BATTERY/BODILY HARM","M","A",,,,,,,,,,,,,"720 ILCS 5.0/12-3.2-A-1 |  |  |","DOMESTIC BATTERY/BODILY HARM |  |  |","M |  |  |","A |  |  |"
"30579564","JK243585","2026-05-05T20:18:00.000","BLACK","720 ILCS 5.0/24-1.6-A-1","AGG UPW/VEHICLE/LOADED/NO FCCA","F","4","625 ILCS 5.0/11-502.15-C","UNLWFL POSS CANNABIS/PASS","M","A",,,,,,,,,"720 ILCS 5.0/24-1.6-A-1 | 625 ILCS 5.0/11-502.15-C |  |","AGG UPW/VEHICLE/LOADED/NO FCCA | UNLWFL POSS CANNABIS/PASS |  |","F | M |  |","4 | A |  |"
"30579563","JJ492694","2026-05-05T20:24:00.000","WHITE","720 ILCS 5.0/16-25-A-1","RETAIL THEFT/DISP MERCH/>$300","F","3","720 ILCS 5.0/16-25-A-1","RETAIL THEFT/DISP MERCH/<$300","M","A","720 ILCS 5.0/16-25-A-1","RETAIL THEFT/DISP MERCH/<$300","M","A",,,,,"720 ILCS 5.0/16-25-A-1 | 720 ILCS 5.0/16-25-A-1 | 720 ILCS 5.0/16-25-A-1 |","RETAIL THEFT/DISP MERCH/>$300 | RETAIL THEFT/DISP MERCH/<$300 | RETAIL THEFT/DISP MERCH/<$300 |","F | M | M |","3 | A | A |"
"30579562","JK243601","2026-05-05T19:20:00.000","BLACK","720 ILCS 5.0/31-1-A","RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR","M","A","720 ILCS 5.0/31-1-A","RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR","M","A","720 ILCS 5.0/31-1-A","RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR","M","A","720 ILCS 5.0/31-1-A","RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR","M","A","720 ILCS 5.0/31-1-A | 720 ILCS 5.0/31-1-A | 720 ILCS 5.0/31-1-A | 720 ILCS 5.0/31-1-A","RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR | RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR | RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR | RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR","M | M | M | M","A | A | A | A"
"30579558","JK243584","2026-05-05T20:20:00.000","WHITE","720 ILCS 5.0/12-3-A-1","BATTERY - CAUSE BODILY HARM","M","A",,,,,,,,,,,,,"720 ILCS 5.0/12-3-A-1 |  |  |","BATTERY - CAUSE BODILY HARM |  |  |","M |  |  |","A |  |  |"
"30579557","JK243457","2026-05-05T18:43:00.000","BLACK","720 ILCS 5.0/12-3.4-A-1","VIOLATE ORDER PROTECTION","M","A",,,,,,,,,,,,,"720 ILCS 5.0/12-3.4-A-1 |  |  |","VIOLATE ORDER PROTECTION |  |  |","M |  |  |","A |  |  |"
"30579556",,"2026-05-05T20:17:00.000","WHITE HISPANIC","725 ILCS 5.0/110-3","ISSUANCE OF WARRANT",,"Z","9-52-040(C)","YIELDING RIGHT OF WAY",,"L","625 ILCS 5.0/6-101","UNLICENSED",,"P",,,,,"725 ILCS 5.0/110-3 | 9-52-040(C) | 625 ILCS 5.0/6-101 |","ISSUANCE OF WARRANT | YIELDING RIGHT OF WAY | UNLICENSED |","|  |  |","Z | L | P |"
"30579555",,"2026-05-05T20:16:00.000","ASIAN / PACIFIC ISLANDER","725 ILCS 5.0/110-3","ISSUANCE OF WARRANT",,"Z",,,,,,,,,,,,,"725 ILCS 5.0/110-3 |  |  |","ISSUANCE OF WARRANT |  |  |","|  |  |","Z |  |  |"
"30579553",,"2026-05-05T20:00:00.000","BLACK","725 ILCS 5.0/110-3","ISSUANCE OF WARRANT",,"Z",,,,,,,,,,,,,"725 ILCS 5.0/110-3 |  |  |","ISSUANCE OF WARRANT |  |  |","|  |  |","Z |  |  |"
"30579551","JK243545","2026-05-05T19:32:00.000","BLACK","720 ILCS 5.0/12-3.2-A-2","DOMESTIC BTRY/PHYSICAL CONTACT","M","A",,,,,,,,,,,,,"720 ILCS 5.0/12-3.2-A-2 |  |  |","DOMESTIC BTRY/PHYSICAL CONTACT |  |  |","M |  |  |","A |  |  |"
"30579545","JK242839","2026-05-05T19:55:00.000","BLACK","720 ILCS 5.0/21-2-A","CRIM TRES TO VEH/PHY CONTROL","M","A","725 ILCS 5.0/110-3","ISSUANCE OF WARRANT",,"Z",,,,,,,,,"720 ILCS 5.0/21-2-A | 725 ILCS 5.0/110-3 |  |","CRIM TRES TO VEH/PHY CONTROL | ISSUANCE OF WARRANT |  |","M |  |  |","A | Z |  |"
"30579542","JK243285","2026-05-05T16:54:00.000","BLACK","720 ILCS 5.0/21-1-A-1","CRIM DMG TO PROP $500-10K","F","4","720 ILCS 5.0/12-3-A-1","BATTERY - CAUSE BODILY HARM","M","A","720 ILCS 5.0/21-3-A-1","CRIMINAL TRESPASS TO REAL PROPERTY","M","B","720 ILCS 5.0/12-1-A","ASSAULT - SIMPLE","M","C","720 ILCS 5.0/21-1-A-1 | 720 ILCS 5.0/12-3-A-1 | 720 ILCS 5.0/21-3-A-1 | 720 ILCS 5.0/12-1-A","CRIM DMG TO PROP $500-10K | BATTERY - CAUSE BODILY HARM | CRIMINAL TRESPASS TO REAL PROPERTY | ASSAULT - SIMPLE","F | M | M | M","4 | A | B | C"
"30579541","JK243518","2026-05-05T19:19:00.000","BLACK","720 ILCS 570.0/407-B-1","MFG/DEL HEROIN/SCH/PUB HS/PK","F","X","625 ILCS 5.0/11-502.15-B","UNLWFL POSS CANNABIS/DRIVER","M","A",,,,,,,,,"720 ILCS 570.0/407-B-1 | 625 ILCS 5.0/11-502.15-B |  |","MFG/DEL HEROIN/SCH/PUB HS/PK | UNLWFL POSS CANNABIS/DRIVER |  |","F | M |  |","X | A |  |"
"30579538",,"2026-05-05T19:10:00.000","WHITE HISPANIC","10-8-526","CTA- SMOKING ON (016-110-1.18)",,"L",,,,,,,,,,,,,"10-8-526 |  |  |","CTA- SMOKING ON (016-110-1.18) |  |  |","|  |  |","L |  |  |"
"30579535","JK243470","2026-05-05T18:51:00.000","BLACK","720 ILCS 5.0/24-1.6-A-2","AGG UPW/PERS/LOADED/FCCA/FOID","F","4",,,,,,,,,,,,,"720 ILCS 5.0/24-1.6-A-2 |  |  |","AGG UPW/PERS/LOADED/FCCA/FOID |  |  |","F |  |  |","4 |  |  |"
"30579534",,"2026-05-05T19:16:00.000","BLACK","8-4-030","DRINKING ALCOHOL ON THE PUBLIC WAY",,"L",,,,,,,,,,,,,"8-4-030 |  |  |","DRINKING ALCOHOL ON THE PUBLIC WAY |  |  |","|  |  |","L |  |  |"
